Age,count
51,346
7,21
15,210
54,268
11,20
18-25,2
101,1
40-50,1
29,782
69,58
11 mon,1
42,552
73,34
87,15
64,83
3,19
30,767
34,731
59,182
3 months,3
8,13
6 months,1
22,890
28,774
85,4
35,687
16,287
52,310
71,45
47,445
107,1
10 months,2
45 or 49,1
40s,4
43,510
5,20
31,766
18,614
70,46
27,821
61,141
75,34
7 months,1
17,396
26,819
25-30,1
46,415
78,32
77,27
89,5
6,20
70s,1
68,74
60,140
90,3
19,654
23,828
41,519
55,251
8 months,1
95,1
93,1
38,635
40,613
25,871
18 months,1
25`,1
44,459
82,8
53,258
46/53,1
92,3
9 months,1
86,13
58,215
20s,12
3 days,1
81,14
33,770
50s,5
60s,7
48,390
97,1
67,62
84,18
79,15
24,836
9,19
20s-30s,1
32,734
88,7
1,26
20,701
7 mon,1
56,246
36,667
10,22
4 months,1
37,627
49,395
63,97
65,89
4,18
39,583
62,138
12,30
83,16
13,50
21,824
14,94
66,85
91,6
74,43
72,42
76,36
2,21
80,14
30s,7
50,385
57,220
45,485
