dieCountry,count
Hanover,1
Bucks,29
Thurston,25
Utah,26
Worcester,22
Grimes,2
East Feliciana,3
Tyler,2
Aitkin,2
Montcalm,4
Charleston,43
Hawaii,23
Pasco,26
Angelina,8
Oktibbeha,5
Shannon,1
Izard,1
Harrison,37
Porter,18
McDowell,5
Cayuga,1
Merrimack,4
Georgetown,6
Wilson,13
Scott,40
Calloway,3
Tishomingo,4
McMinn,3
Plumas,2
Robertson,2
Juab,1
Ulster,2
Lucas,44
Kings,144
Baldwin,24
Marin,16
Tangipahoa,23
Brunswick,10
Clackamas,24
Granville,6
Goochland,1
Tensas,2
Beford,1
Braziria,1
Pittsburg,4
Braxton,1
Monroe,70
Litchfield,4
Venango,3
Keith,3
Dent,2
Queens,53
Jones,7
Glascock,1
McDonough,1
Boyd,1
Real,1
Graham,1
Lenawee,9
Bossier,11
Waller,6
Palo Alto,1
Conway,4
Kittitas,2
Crawford,29
Prince George's,63
Marion,185
Anchorage,36
Potter,31
Dane,37
Calhoun,51
Okfuskee,2
Inyo,3
Autauga,7
Elbert,3
McCook,3
Millard,1
Deaf Smith,1
City of Chesapeake,1
Walton,14
Ohio,4
Sonoma,52
Richland,49
Gallatin,6
Mahnomen,1
Allendale,1
Isabella,2
Marinette,5
Bureau,3
Snohomish,50
Lexington City,2
Hudspeth,2
Neshoba,4
Hampshire,2
Latimer,2
Ottawa,20
Napa,17
Eaton,6
Coos,5
Bartholomew,3
Jersey,2
Eastland,3
Josephine,11
Manassas City,1
Dewey,3
Parke,1
Davie,1
Lenoir,5
Franklin,215
St. Landry,9
Oneida,11
Delta,3
Sumter,17
Barnstable,10
Garvin,6
Coweta,5
Taos,3
Dallas,262
Concordia,2
Dawes,2
Yavapai,25
Guilford,38
Chesterfield,34
Ascension,8
Brooke,2
Athens-Clarke,6
Brewster,1
Oakland,70
Mayes,8
Kitsap,18
Tate,5
Lackawanna,6
Clare,5
Bradford,5
Davis,19
Bell,33
Daviess,14
Edgecombe,7
Lamar,16
Chemung,3
DeKalb,104
Clatsop,4
Cherokee,48
Haywood,3
Sequatchie,3
Petersburg City,8
