Age,dieCountry,count
39,Pinellas,5
11,Kane,1
47,Sacramento,5
78,Pima,1
29,Kings,6
43,Buena Vista,1
48,Kenai Peninsula,2
32,Placer,1
43,Olmsted,1
40,Pima,5
33,Henry,3
44,Salt Lake,3
17,East Baton Rouge,1
39,Weld,2
51,Habersham,1
34,Anne Arundel,1
32,St. Joseph,1
45,Wilkinson,1
28,Madison,5
21,Monterey,1
46,Lynchburg City,1
33,Garfield,1
59,Pettis,1
31,Genesee,2
24,Sedgwick,5
23,Luce,1
44,Snohomish,3
30,Seneca,1
52,Ventura,1
68,Jefferson,1
31,Riverside,6
29,Dorchester,1
55,Baldwin,1
33,Hartford,1
33,Ontario,1
19,Bergen,1
52,Madison,3
41,Washoe,2
27,Warren,1
42,DeKalb,1
50s,Philadelphia,1
60,St. John the Baptist,1
51,Tioga,1
61,Lubbock,1
43,New Haven,1
40,Johnson,1
93,Robertson,1
12,Baltimore City,1
52,Aiken,1
24,Allegan,1
25,Beauregard,1
39,St. Lucie,1
48,Bay,1
49,Cleburne,1
74,District of Columbia,1
52,Ramsey,1
56,Kanawha,1
28,Rolette,1
57,St. Louis,1
26,Hernando,1
45,Potter,1
30,Union,1
53,Arapahoe,1
84,Miami-Dade,1
25,Rosebud,1
35,Webb,1
22,Curry,1
39,Faulkner,1
19,Jackson,6
12,Hamilton,1
21,Hamilton,5
19,Cowlitz,1
52,Shelby,1
50,Cass,1
53,San Bernardino,3
27,Riverside,12
67,Los Angeles,1
50,Hillsborough,4
29,Fulton,4
46,Morehouse,1
28,Washington,6
32,Waller,1
25,Newport News City,1
19,Riverside,3
35,New Haven,2
80,Ozaukee,1
15,Cook,12
42,Monroe,1
23,Cobb,5
27,Norfolk City,2
39,Denton,1
49,Talbot,1
21,Lehigh,1
58,San Francisco,1
52,San Diego,5
33,Pinellas,5
48,Cullman,1
24,Morehouse,1
47,Sheboygan,1
23,Tarrant,6
54,Orange,3
29,Crawford,1
22,Lander,1
48,Madison,2
53,Alameda,2
29,Ventura,3
20,Delaware,1
32,San Joaquin,3
55,Mitchell,1
57,Craighead,1
37,Honolulu,2
26,Hampton City,1
61,St. Charles,1
34,Gordon,1
101,Ramsey,1
30,Morgan,1
34,Deschutes,1
42,Comal,1
23,Neosho,1
23,Hickman,1
37,Atlantic,1
52,Dixie,1
76,Riverside,1
25,Socorro,1
68,Marquette,1
31,Clay,1
22,Florence,1
22,Stearns,1
14,Miami-Dade,1
10,Douglas,1
74,Norfolk,1
48,Napa,1
26,Lehigh,1
10,Yankton,1
43,Apache,1
47,Craighead,1
22,Potter,1
65,Knox,1
34,Outagamie,1
28,Custer,1
31,Taos,1
62,Houston,1
22,Dyer,1
28,Davis,1
21,Kings,10
33,Macomb,2
43,Lancaster,1
2,Pulaski,1
24,St. Louis City,5
22,Duval,11
62,Alameda,3
77,Caswell,1
31,Muskingum,1
18,Oakland,2
40,Will,1
51,Madison,4
36,Conecuh,1
57,Chesterfield,1
68,Mecklenburg,1
27,Cleveland,4
60,Jackson,3
20,Nueces,2
49,Alachua,1
65,Norfolk,1
41,Siskiyou,1
29,Whitley,2
15,Porter,1
50s,Bowie,1
26,Mayes,1
20,Broward,1
51,Lonoke,1
29,Kern,4
63,Lake,1
34,McLean,1
47,Clinton,1
46,Bradford,1
28,Chesapeake City,1
34,Calhoun,1
29,Cuyahoga,4
31,Lawrence,2
45,Crittenden,1
43,Bernalillo,3
48,Essex,1
32,Alameda,9
48,Scott,2
19,Pulaski,1
36,Wheeler,1
47,Camden,1
49,Palm Beach,1
48,Westchester,1
19,Oneida,1
28,Middlesex,2
74,Newton,1
57,Hennepin,1
44,McLennan,2
61,Westchester,1
56,Gibson,1
32,Volusia,2
50,Ouachita,1
30,Sangamon,1
29,Lincoln,1
49,Bronx,1
67,Cascade,2
20,Sandoval,1
25,Rowan,1
30,Barrow,1
50,Charles,1
45,Weld,1
29,Webb,2
56,Mohave,1
17,Hardin,1
21,Crittenden,1
14,Lowndes,1
47,Tippah,1
23,Bannock,1
49,Seminole,1
62,Wicomico,1
43,Fresno,2
48,Ventura,2
30,Alachua,1
29,Santa Cruz,1
38,West Baton Rouge,3
42,Hawaii,2
16,Los Angeles,10
26,Duval,1
24,Placer,3
51,Pittsylvania,1
16,Floyd,1
25,Monroe,1
40,Dauphin,1
58,Fulton,1
48,Allegheny,1
36,Beaufort,1
44,New Castle,1
23,Hardin,1
53,Marion,2
24,St. Francois,1
23,Peoria,1
56,Lake,4
48,Garrard,1
38,McIntosh,1
39,New York,4
20,Vanderburgh,2
49,Ramsey,1
78,LaPorte,1
48,Marion,1
58,Broomfield,1
26,McDonald,1
23,Lubbock,1
86,Angelina,1
25,Snohomish,1
26,Portsmouth City,1
34,Kent,3
44,Riverside,1
50,Gaston,1
30,Hardin,1
24,Dauphin,2
21,Wilson,1
63,Broward,1
49,Greenwood,1
25-30,Maricopa,1
49,Merced,1
45,Tunica,1
55,Gregg,1
31,Champaign,1
24,Pottawattamie,1
32,Sheridan,2
54,Osage,1
9,St. Louis,1
30,Real,1
31,Hall,1
72,Mobile,1
86,Converse,1
55,Floyd,1
32,Lafayette,2
36,Volusia,1
33,Bourbon,1
42,Arapahoe,1
24,Hall,1
62,San Bernardino,1
29,Hampden,1
61,Forsyth,1
33,Baltimore,4
24,San Diego,13
21,Philadelphia,7
23,Mercer,3
22,Milwaukee,5
34,King,4
20,Kern,3
18,Riverside,8
35,Cass,1
20,Stark,1
51,Marshall,3
41,Mendocino,1
44,District of Columbia,1
48,St. Louis City,1
47,Durham,1
35,Linn,2
27,Shelby,3
34,Tulsa,4
33,Fairfield,1
57,McLean,2
38,Matanuska-Susitna,2
30,Comanche,2
50,Livingston,2
39,Oneida,1
49,Tate,1
60,Weld,1
86,Heard,1
32,Portage,1
54,Fayette,2
34,Ocean,1
19,Harper,1
63,Orange,1
34,Buchanan,1
52,Gloucester,1
66,Hillsborough,1
57,Addison,1
28,Haralson,1
59,Erie,1
50,Comanche,1
4,New York,1
24,Pima,4
45,Knox,3
56,Crawford,2
17,Boone,2
35,Craighead,1
51,Bee,1
61,Putnam,1
44,Victoria,1
34,San Francisco,1
84,Lake,1
54,Suffolk,1
21,Yavapai,1
15,Pennington,1
58,Oswego,1
25,Pitt,1
35,Barbour,1
19,Fresno,1
37,Lavaca,1
70,Lane,1
16,Burlington,2
42,White,1
46,Bibb,1
38,Bonneville,1
28,Pueblo,1
28,Sandoval,1
18,Gregg,1
21,Keith,2
76,Canyon,1
36,Dakota,1
67,Brevard,1
41,Tunica,1
29,Orange,17
26,Oklahoma,7
36,Baltimore City,3
21,Anderson,1
19,Anderson,1
31,Cook,16
17,Chesapeake City,1
64,Douglas,1
33,Dallas,5
22,Sonoma,1
20,Pinellas,3
29,Dallas,8
23,Platte,2
24,Shelby,6
30,Kitsap,2
19,Collier,1
24,Linn,1
34,Merced,2
44,Cecil,1
29,Waukesha,1
38,Beaufort,1
22,Winnebago,1
19,Pratt,1
52,Honolulu,2
57,Grundy,1
33,Woodbury,1
41,Brevard,1
