Gender,dieCountry,count
Male,Columbia,36
Male,Pima,135
Female,Cobb,10
Male,Barrow,6
Male,Stearns,6
Female,Prince George's,4
Female,Crenshaw,1
Male,Kimball,1
Female,Volusia,11
Male,Tift,3
Male,Russell,16
Male,Rio Arriba,6
Male,Glynn,8
Male,Crockett,4
Female,Du Page,1
Male,Oskaloosa,1
Female,Anson,2
Female,Racine,1
Male,Mille Lacs,3
Male,Horry,29
Male,Gila,6
Male,Outagamie,10
Male,Breckinridge,1
Male,La Porte,1
Male,Pendleton,1
Male,Butte,30
Male,Sandoval,11
Male,Portsmouth City,11
Female,Spartanburg,10
Female,Polk,13
Male,Dougherty,5
Female,Hartford,1
Female,Sarasota,2
Female,Wayne,34
Male,Emmet,3
Male,Piatt,2
Female,Greenwood,4
Male,Dallam,2
Female,Pittsylvania,1
Female,Dawson,2
Male,Gallatin,6
Male,Hawkins,6
Female,Mobile,5
Male,Ontario,2
Male,Payne,10
Male,Bedford City,3
Male,Hood,2
Female,Sutter,2
Male,Colquitt,4
Male,Graves,1
Female,Albany,1
Female,Alamosa,1
Male,Danville City,8
Female,Mecklenburg,5
Male,White,11
Male,Snohomish,49
Female,Cambria,2
Male,Camas,1
Male,Blue Earth,6
Male,Chaffee,3
Female,Richmond,4
Male,Venango,2
Female,Pembina,1
Female,Cleveland,1
Male,Saline,31
Male,Baltimore,87
Male,Letcher,2
Male,Richmond,39
Male,Litchfield,4
Female,Middlesex,2
Male,Concordia,2
Male,Seminole,20
Male,Tyler,2
Female,Kenai Peninsula,1
Male,Hillsborough,96
Male,Jackson,246
Male,Plymouth,16
Female,Linn,6
Male,Lafayette,33
Male,Wood,13
Male,Conecuh,2
Female,Roanoke,1
Female,Maury,1
Female,Nueces,4
Male,Drew,2
Male,Okanogan,3
Female,Josephine,1
Female,Attala,2
Female,Cleburne,2
Transgender,Webb,1
Male,Chester,22
Female,Hall,2
Female,Hillsborough,15
Male,Apache,8
Female,Talladega,3
Male,Alcona,1
Male,Pickaway,7
Male,Riverside,239
Male,Sarasota,20
Male,Greenville,47
Female,Anne Arundel,4
Male,Sweetwater,2
Male,Kerr,7
Male,Stanton,1
Male,Wirt,1
Male,Tucker,1
Male,Murray,2
Female,Cass,2
Male,Saratoga,2
Male,Osage,6
Male,Hitchcock,1
Male,Kittitas,2
Male,Traverse,1
Male,Johnston County,1
Male,Richmond City,21
Male,Cheboygan,3
Male,Delta,3
Female,Ada,2
Male,Bastrop,4
Male,Atchison,2
Male,Newberry,3
Female,Kerr,1
Male,El Paso,114
Male,Ventura,65
Male,Henderson,20
Male,Cole,10
Male,Pottawattamie,11
Male,Watauga,5
Male,Woodson,2
Female,Hale,1
Male,Nez Perce,2
Male,Saluda,1
Female,Pike,1
Male,Beckham,2
Female,Union,6
Male,Nye,6
Male,Mason,7
Male,Grand Traverse,5
Male,Maui,6
Female,Travis,9
Male,Lycoming,6
Male,Van Zandt,3
Female,Indiana,1
Male,Callahan,1
Male,Defiance,1
Female,Steele,1
Male,Thomas,6
Male,Lawrence,36
Male,Spotsylvania,6
Male,Metcalfe,2
Female,Upson,1
Female,Oconee,2
Male,Amador,1
Male,Ripley,1
Male,Worcester,21
Male,Dyer,9
Female,Kenosha,1
Male,Rusk,5
Male,Wilkes,4
Male,Northumberland,5
Male,Heard,2
Male,Sebastian,9
Male,Humboldt,20
Female,Sebastian,2
Male,Collin,20
Male,Blair,4
Male,St. Mary's,3
Male,Prowers,1
Female,Roane,1
Female,Bowie,2
Male,Wilbarger,1
Male,Vermilion,12
Male,Ramsey,49
Male,DuPage,15
Male,Rowan,8
Male,Nolan,7
Male,Rock,9
Female,Tangipahoa,2
Female,Laramie,2
Male,Franklin City,1
Male,Butts,5
Male,Toombs,1
Male,Jeff Davis,1
Female,Pittsburg,1
Male,Dekalb,2
Male,Santa Clara,121
Male,Douglas,116
Male,Guernsey,1
Female,Santa Clara,15
Male,Holmes,8
Female,Smith,3
Male,Twin Falls,6
Male,Wabash,3
Male,Stanly,5
Male,Neosho,2
Male,Turner,2
Transgender,Fulton,1
Male,Alamosa,2
Male,Montcalm,4
Male,McHenry,7
Female,Woodbury,2
Male,Assumption,1
Male,Florence,12
Male,Summers,1
Male,Harrisonburg City,1
Male,Brooklyn,1
Male,Muskogee,10
Female,Fredericksburg City,1
Male,Angelina,8
Female,Pinal,1
Female,Johnston,1
Female,Gooding,1
Male,Saint Mary's,1
Male,Dauphin,27
Female,Sonoma,6
Male,Lubbock,29
Male,San Luis Obispo,10
Female,Brazoria,4
Female,Winnebago,7
Male,Gregg,22
Male,Prince Edward,2
Male,Haralson,2
Male,Ashe,2
Male,Cochran,1
Male,Lee,69
Male,Talladega,13
Male,Roane,9
Male,Okfuskee,2
Male,Green Lake,1
Female,Sandusky,2
Male,Perry,18
Female,Chickasaw,1
Female,Yellowstone,1
Female,Lancaster,3
Male,Snyder,2
Female,Tift,1
Male,St. Louis CIty,1
Male,Shelby,126
Male,Marshall,27
Male,Northwest Arctic,2
Male,Dane,34
Female,Forrest,4
Female,Hamilton,13
Male,Rapides,7
Female,Tulare,13
Female,Monmouth,3
Male,Taos,3
Male,Missaukee,1
Male,Macomb,47
Male,Scioto,2
Male,Franklin,199
Male,Halifax,7
Male,Sherman,4
Female,Genesee,10
Male,Brunswick,9
Male,Belmont,3
Male,Lyon,8
Male,Bannock,7
Male,Pend Oreille,2
Female,Greene,7
Female,Pickens,1
Transgender,Mercer,1
Male,Bennington,1
Male,Caddo,48
Male,Volusia,54
Male,Ohio,4
Male,Athens-Clarke,5
Female,Deschutes,2
Male,Howell,2
Male,Hutchinson,1
Male,Buchanan,15
Male,Lauderdale,20
Male,Powhatan,3
Female,St. Francois,2
Female,Crittenden,3
Male,Stone,5
Male,Cedar,1
Female,Macon,2
Transgender,New York,1
Female,Crawford,5
Male,Bibb,19
Male,San Francisco,83
Female,St. Louis,15
Male,Burlington,13
Male,Carroll,17
Male,Accomack,1
Male,Claiborne,6
Male,Autauga,6
Female,Cape Girardeau,1
Female,Midland,2
Male,West Baton Rouge,5
Male,Allegany,4
Male,Will,22
Male,Bureau,3
Male,Hawaii,17
Male,Muhlenberg,3
Male,Trumbull,9
Male,Sutter,12
Male,Dunklin,2
Male,Forest,6
Male,Lynn,2
Female,Dawes,1
Female,Peach,1
Female,Hinds,13
Male,Middlesex,46
Male,Canadian,9
Male,Ingham,6
Male,Bowie,8
Female,Nome,1
Male,Warrick,3
Male,McIntosh,4
Male,Hudspeth,2
Female,Gadsden,1
Female,Candler,1
Male,Pittsburg,3
Male,St. Francis County,1
Male,New Haven,37
Male,Osceola,9
Male,Morrow,3
Male,Wadena,1
Male,Pratt,2
Male,Auglaize,3
Female,Bay,3
Male,Evangeline,6
Male,Darlington,4
Male,Beauregard,5
Male,Winkler,1
Male,Hays,12
Male,Alamance,7
Female,Clackamas,2
Male,Torrance,2
Male,Boyle,2
Male,Minnehaha,5
Male,Bleckley,2
Female,Davis,2
Male,Delaware,50
Male,Johnston,9
Male,Boone,27
Male,Frederick,28
Male,Wabaunsee,1
Male,Valley,2
Female,Washoe,2
Male,Plumas,2
Male,Pecos,3
Male,Coweta,5
Male,Berkshire,1
Male,DeBaca,1
Male,Charleston,39
Female,DuPage,5
Female,Walworth,2
Male,Ashtabula,8
Male,Erie,30
Male,Breathitt,4
Female,Oldham,2
Male,Magoffin,1
Female,Cerro Gordo,1
Male,Quay,1
Male,Cuyahoga,147
Male,Martin,14
Male,Otter Tail,1
Transgender,Douglas,1
Female,Broward,14
Male,Payette,2
Female,Pickaway,1
Male,Oconto,1
Male,Essex,133
Male,Duval,124
Male,Dakota,18
Male,Stewart,2
Male,Chase,2
Female,Napa,3
Female,Gordon,2
Male,Wayne,198
Male,St. Lucie,21
Female,Dane,3
Male,Acadia,7
Male,Weber,31
Male,Loudon,7
Male,Hillsdale,2
Male,Inyo,3
Male,Milam,2
Female,Citrus,5
Male,Tippah,3
Male,Box Butte,1
Male,Knott,3
Male,Knox,62
Female,Emanuel,1
Female,Dakota,2
Female,Rockingham,3
Male,Bartow,14
Male,Jersey,2
Female,Tipton,1
Male,Cherokee,40
Female,Kitsap,2
Male,Okaloosa,10
Female,Larimer,3
Male,Guadalupe,6
Male,Moffat,1
Female,St. Francis,1
Female,Effingham,1
Male,Orange,362
Male,Alameda,193
Male,Berrien,20
Male,Scott,36
Male,Buena Vista,1
Transgender,Yakima,1
Female,York,7
Male,Clearwater,1
Male,Wicomico,9
Female,Phelps,1
Male,Story,4
Female,Berks,1
Male,Ogle,1
Female,Denver,8
Female,Liberty,6
Male,Lenawee,8
Male,Yavapai,23
Male,Carver,3
Female,Glynn,2
Female,Barren,1
Male,Des Moines,4
