Race,dieCountry,count
African-American/Black,Hamilton,55
Race unspecified,Chesterfield,10
European-American/White,San Mateo,8
European-American/White,Suffolk,20
Race unspecified,Kendall,2
Race unspecified,King George,1
European-American/White,Barnstable,7
Hispanic/Latino,Washington,2
European-American/White,Albemarle,4
African-American/Black,Cole,2
African-American/Black,Prince William,4
European-American/White,Red River,2
Hispanic/Latino,Morgan,3
Asian/Pacific Islander,Guilford,1
Asian/Pacific Islander,Chippewa,1
Race unspecified,Ocean,1
European-American/White,Coos,1
European-American/White,Wolfe,1
Race unspecified,Livingston,18
Hispanic/Latino,Orange,81
Race unspecified,Ketchikan Gateway,1
Hispanic/Latino,Pima,50
Race unspecified,Branch,2
Race unspecified,Whatcom,2
Native American/Alaskan,Washoe,3
European-American/White,Gallatin,3
Hispanic/Latino,Seward,1
European-American/White,New Castle,8
African-American/Black,Pettis,1
Race unspecified,Grand,2
European-American/White,Jim Hogg,2
Race unspecified,Hampton City,3
Race unspecified,Eau Claire,2
Hispanic/Latino,St. Clair,1
Asian/Pacific Islander,Kings,1
African-American/Black,Evangeline,2
European-American/White,Aitkin,2
Hispanic/Latino,Cameron,25
European-American/White,Ramsey,20
African-American/Black,Hillsborough,23
Race unspecified,Nassau,8
Hispanic/Latino,Adams,13
African-American/Black,Berrien,10
Hispanic/Latino,Webb,21
Hispanic/Latino,Middlesex,7
Race unspecified,Natchitoches,1
Race unspecified,Tensas,1
Asian/Pacific Islander,St. Louis,4
Hispanic/Latino,Brevard,3
Race unspecified,Catawba,2
European-American/White,Burleigh,4
African-American/Black,Tom Green,1
European-American/White,Indiana,1
African-American/Black,Chelan,1
European-American/White,Crenshaw,2
European-American/White,Hampshire,2
Hispanic/Latino,Hockley,2
European-American/White,Creek,6
African-American/Black,Cleburne,2
Race unspecified,Halifax,1
Hispanic/Latino,Kern,48
Race unspecified,Kane,10
European-American/White,Carver,2
European-American/White,Chittenden,9
Race unspecified,St. John the Baptist,2
Race unspecified,Orangeburg,5
European-American/White,Denver,18
African-American/Black,Wake,18
African-American/Black,Polk,17
Race unspecified,Dunklin,1
Race unspecified,Rhea,1
European-American/White,St. Mary's,3
Asian/Pacific Islander,Hillsborough,3
Race unspecified,Stephenson,1
Hispanic/Latino,Bergen,3
Race unspecified,Waseca,1
Hispanic/Latino,Hennepin,4
European-American/White,Natchitoches,4
Asian/Pacific Islander,Lake,1
European-American/White,Saint Clair,1
European-American/White,George,2
African-American/Black,Beckham,1
Race unspecified,Yuba,2
Race unspecified,Kauai,2
Race unspecified,Oconee,4
Race unspecified,Suffolk,25
Race unspecified,Lauderdale,9
European-American/White,Casey,1
European-American/White,Carbon,5
African-American/Black,Collier,3
Race unspecified,Silver Bow,1
Race unspecified,Deschutes,2
European-American/White,Crittenden,4
European-American/White,New York,8
African-American/Black,Houston,7
European-American/White,Crockett,3
African-American/Black,Citrus,1
Hispanic/Latino,Snohomish,1
European-American/White,Pawnee,1
African-American/Black,Tate,1
Asian/Pacific Islander,Jackson,4
Race unspecified,Sacramento,50
African-American/Black,Douglas,30
African-American/Black,Hunterdon,1
Race unspecified,Dona Ana,8
European-American/White,San Diego,68
European-American/White,Kern,33
African-American/Black,Dougherty,4
African-American/Black,Troup,2
African-American/Black,New Castle,13
European-American/White,Oktibbeha,4
European-American/White,Gage,2
European-American/White,Highlands,4
European-American/White,DeSoto,5
Race unspecified,Scurry,1
African-American/Black,Worcester,2
Hispanic/Latino,Tuscola,1
Hispanic/Latino,Klickitat,1
African-American/Black,Catoosa,1
European-American/White,St Clair,2
European-American/White,Ulster,2
European-American/White,Bleckley,1
European-American/White,Berkshire,1
Hispanic/Latino,Saginaw,1
European-American/White,Kay,1
Asian/Pacific Islander,Will,1
African-American/Black,Quitman,1
European-American/White,Sacramento,38
Race unspecified,McLean,5
Race unspecified,Calhoun,25
Race unspecified,Bolivar,2
Hispanic/Latino,Milwaukee,9
African-American/Black,Rockland,3
Race unspecified,Colbert,2
Native American/Alaskan,Pennington,9
Asian/Pacific Islander,Suffolk,1
Race unspecified,Somervell,1
African-American/Black,Maury,1
European-American/White,Person,1
Native American/Alaskan,Pueblo,1
Hispanic/Latino,Stanislaus,25
African-American/Black,Escambia,11
Race unspecified,Bent,2
Race unspecified,Barton,3
Race unspecified,Barbour,3
European-American/White,Kitsap,12
African-American/Black,Bradley,2
European-American/White,Spalding,2
African-American/Black,Berks,2
African-American/Black,Cambria,1
European-American/White,St. John the Baptist,2
European-American/White,Colorado,1
European-American/White,Rockcastle,1
European-American/White,Quay,1
European-American/White,Onslow,1
African-American/Black,Harrison,13
Race unspecified,Sangamon,7
Race unspecified,Sedgwick,21
African-American/Black,Daviess,3
Race unspecified,Yakima,12
Middle Eastern,Harris,5
Hispanic/Latino,Clinton,2
African-American/Black,Fayette,9
European-American/White,Stanislaus,19
European-American/White,Talladega,5
African-American/Black,Watauga,1
African-American/Black,Habersham,1
Race unspecified,Mineral,1
European-American/White,Bedford City,2
European-American/White,Dawes,1
Native American/Alaskan,York,1
Race unspecified,Rice,1
African-American/Black,Hopewell City,2
African-American/Black,Columbia,5
European-American/White,Sawyer,1
European-American/White,Roanoke,1
Native American/Alaskan,Fremont,2
Native American/Alaskan,Coconino,4
Race unspecified,Rio Arriba,4
European-American/White,Utah,18
Hispanic/Latino,Hartford,10
African-American/Black,St. Landry,7
African-American/Black,Queen Anne's,1
African-American/Black,Chambers,2
Asian/Pacific Islander,DeKalb,2
European-American/White,Norfolk,10
European-American/White,Mineral,3
Hispanic/Latino,Baltimore City,1
European-American/White,Davison,1
Hispanic/Latino,Will,1
European-American/White,Newport News City,1
Race unspecified,Bexar,18
European-American/White,Tulare,21
African-American/Black,Ramsey,18
Race unspecified,Monroe,25
Race unspecified,Rockingham,6
Race unspecified,Durham,7
European-American/White,Limestone,6
Race unspecified,Hidalgo,2
Hispanic/Latino,El Paso,43
Hispanic/Latino,Fort Bend,4
Race unspecified,Sheboygan,3
European-American/White,Perry,10
European-American/White,Heard,1
Hispanic/Latino,Luna,2
European-American/White,Yancey,1
European-American/White,Dallam,1
Race unspecified,Tattnall,1
Race unspecified,Lumpkin,1
African-American/Black,Charleston,20
Race unspecified,Valencia,3
European-American/White,Buncombe,3
European-American/White,Somerset,6
European-American/White,Monroe,28
African-American/Black,Clayton,12
African-American/Black,Warren,1
Asian/Pacific Islander,Bexar,2
European-American/White,Darlington,4
African-American/Black,Phillips,3
European-American/White,Nolan,4
European-American/White,Trumbull,4
European-American/White,Newberry,2
Native American/Alaskan,Shawnee,1
Native American/Alaskan,Dewey,3
African-American/Black,Morehouse,2
Native American/Alaskan,Anchorage,3
European-American/White,Iron,1
European-American/White,Deuel,1
Native American/Alaskan,Todd,2
Hispanic/Latino,Hernando,1
Hispanic/Latino,Henry,1
Race unspecified,Wayne,97
Race unspecified,Harford,12
Race unspecified,Erie,19
European-American/White,Davis,14
Race unspecified,Van Wert,1
European-American/White,Blaine,1
Race unspecified,Torrance,1
Hispanic/Latino,Dorchester,1
Race unspecified,Cheyenne,1
European-American/White,Passaic,4
Asian/Pacific Islander,El Dorado,1
Race unspecified,Hempstead,1
European-American/White,McLean,2
European-American/White,Forsyth,9
European-American/White,Buckingham,1
Hispanic/Latino,Calhoun,1
Hispanic/Latino,Pinal,4
Hispanic/Latino,Harford,1
Hispanic/Latino,Churchill,1
Hispanic/Latino,Erie,2
Race unspecified,Angelina,1
African-American/Black,Penobscot,1
Race unspecified,Skagit,1
Native American/Alaskan,Virginia Beach City,1
African-American/Black,Fulton,67
Race unspecified,Black Hawk,3
Race unspecified,Washington,59
European-American/White,Duval,41
Race unspecified,Vanderburgh,5
African-American/Black,San Joaquin,14
Race unspecified,Delta,2
African-American/Black,Chesapeake City,7
European-American/White,Weld,11
Race unspecified,Jay,1
Race unspecified,Andrew,1
Hispanic/Latino,Norfolk City,1
Hispanic/Latino,Canyon,7
Hispanic/Latino,Kerr,4
Hispanic/Latino,Comal,3
African-American/Black,El Paso,13
African-American/Black,Pearl River,1
European-American/White,Snyder,1
European-American/White,Androscoggin,5
Hispanic/Latino,Keith,1
European-American/White,Ventura,20
Race unspecified,Grundy,3
European-American/White,Jefferson,124
Race unspecified,Hendricks,2
Race unspecified,Waukesha,11
European-American/White,Boone,17
European-American/White,Palm Beach,27
Race unspecified,Bowie,2
Race unspecified,Sumter,5
Hispanic/Latino,Indian River,1
European-American/White,Coconino,8
African-American/Black,Saluda,1
African-American/Black,Somerset,3
European-American/White,Dyer,3
Hispanic/Latino,Kinney,1
Native American/Alaskan,Cherokee,4
Hispanic/Latino,Lincoln,2
European-American/White,Bourbon,2
Race unspecified,Toole,1
Race unspecified,Prince George's,21
African-American/Black,San Francisco,26
African-American/Black,Muskogee,5
Race unspecified,De Soto,2
Hispanic/Latino,Cape May,1
Race unspecified,Clackamas,6
European-American/White,Sussex,6
Race unspecified,Le Flore,1
European-American/White,Randolph,13
European-American/White,Greenlee,1
Asian/Pacific Islander,Boulder,1
Native American/Alaskan,Valdez Cordova,1
Race unspecified,Kennebec,5
Race unspecified,Blount,4
African-American/Black,Elkhart,6
Hispanic/Latino,Starr,3
European-American/White,Talbot,2
European-American/White,Wood,10
Race unspecified,Manassas City,1
African-American/Black,Kanawha,2
European-American/White,San Luis Obispo,2
European-American/White,Hamblen,5
Hispanic/Latino,Lavaca,1
Race unspecified,Seward,2
Race unspecified,Johnston,4
Native American/Alaskan,Snohomish,3
Hispanic/Latino,Franklin,9
Hispanic/Latino,Brooks,5
European-American/White,Benzie,1
European-American/White,Jersey,2
European-American/White,Aiken,8
European-American/White,Sanilac,1
European-American/White,Louisa,2
European-American/White,Oxford,3
European-American/White,Marquette,1
European-American/White,Neshoba,2
European-American/White,Gunnison,1
Hispanic/Latino,Lewis,1
Native American/Alaskan,Southeast Fairbanks Census Area,1
Race unspecified,Boulder,5
African-American/Black,Bergen,9
African-American/Black,Denver,13
European-American/White,Lincoln,31
Hispanic/Latino,DeKalb,4
Race unspecified,Hawkins,4
Race unspecified,Hampden,3
Race unspecified,New Hanover,4
